Date,Order ID,Stock Code,Stock Name,Currency,Action,Order Price,Quantity,Executed Price,Order Type
2024-11-26 00:00:00,11289296,HK 06862,HAIDILAO,HKD,Buy,15.000,8000,15.000,Enhanced Limit Order
2024-12-05 00:00:00,11299906,HK 06862,HAIDILAO,HKD,Buy,15.600,22000,15.600,Enhanced Limit Order
2024-12-06 00:00:00,11302044,HK 06862,HAIDILAO,HKD,Buy,16.000,10000,16.000,Enhanced Limit Order
2024-12-09 00:00:00,11304980,HK 06862,HAIDILAO,HKD,Buy,17.200,20000,17.200,Enhanced Limit Order
2024-12-13 00:00:00,11313904,HK 06862,HAIDILAO,HKD,Buy,17.020,5000,17.020,Enhanced Limit Order
2024-12-20 00:00:00,11321806,HK 06862,HAIDILAO,HKD,Buy,17.400,10000,17.380,Enhanced Limit Order
2024-12-20 00:00:00,11321819,HK 06862,HAIDILAO,HKD,Buy,17.400,5000,17.380,Enhanced Limit Order
2025-01-02 00:00:00,11332358,HK 06862,HAIDILAO,HKD,Buy,15.600,10000,15.600,Enhanced Limit Order
2025-01-06 00:00:00,11335771,HK 06862,HAIDILAO,HKD,Sell,15.000,20000,15.000,Enhanced Limit Order
2025-01-14 00:00:00,11344718,HK 06862,HAIDILAO,HKD,Buy,13.960,25000,13.940,Enhanced Limit Order
2025-01-27 00:00:00,11360608,HK 06862,HAIDILAO,HKD,Sell,14.500,25000,14.500,Enhanced Limit Order
2025-02-25 00:00:00,11416277,HK 06862,HAIDILAO,HKD,Sell,15.440,20000,15.440,Enhanced Limit Order
2025-03-06 00:00:00,11439234,HK 06862,HAIDILAO,HKD,Buy,16.920,10000,16.920,Enhanced Limit Order
2025-03-11 00:00:00,11447410,HK 06862,HAIDILAO,HKD,Sell,16.180,40000,16.300,At Auction Limit
2025-03-12 00:00:00,11452206,HK 06862,HAIDILAO,HKD,Sell,17.180,20000,17.181,Enhanced Limit Order
2025-03-17 00:00:00,11459716,HK 06862,HAIDILAO,HKD,Buy,17.840,30000,17.840,Enhanced Limit Order
2025-03-18 00:00:00,11462752,HK 06862,HAIDILAO,HKD,Buy,18.020,10000,18.020,Enhanced Limit Order
2025-03-19 00:00:00,11465378,HK 06862,HAIDILAO,HKD,Buy,18.200,10000,18.200,Enhanced Limit Order
2025-03-20 00:00:00,11468223,HK 06862,HAIDILAO,HKD,Sell,17.900,20000,17.920,Enhanced Limit Order
2025-03-20 00:00:00,11469868,HK 06862,HAIDILAO,HKD,Sell,17.700,30000,17.700,Enhanced Limit Order
2025-03-24 00:00:00,11474542,HK 06862,HAIDILAO,HKD,Buy,16.760,40000,16.760,Enhanced Limit Order
2025-03-26 00:00:00,11478594,HK 06862,HAIDILAO,HKD,Buy,17.300,15000,17.300,Enhanced Limit Order
2025-06-23 12:26:06,20449793,HK 06862,HAIDILAO,HKD,Buy,14.500,5000,14.500,Enhanced Limit Order
2025-06-24 11:25:12,20451896,HK 06862,HAIDILAO,HKD,Buy,14.940,10000,14.940,Enhanced Limit Order
2025-07-04 13:16:50,20469453,HK 06862,HAIDILAO,HKD,Sell,14.900,30000,14.900,Enhanced Limit Order
2025-07-17 15:02:13,20493244,HK 06862,HAIDILAO,HKD,Buy,14.000,30000,13.960,Enhanced Limit Order
2025-08-07 11:23:30,20534802,HK 06862,HAIDILAO,HKD,Sell,14.040,20000,14.060,Enhanced Limit Order
2025-09-16 11:38:30,20615784,HK 06862,HAIDILAO,HKD,Sell,13.000,15000,13.100,Market Order
2025-11-19 10:00:16,20721656,HK 06862,HAIDILAO,HKD,Sell,13.490,15000,13.490,Enhanced Limit Order
2026-01-23 15:38:03,20801092,HK 06862,HAIDILAO,HKD,Buy,16.030,20000,15.930,Market Order
2026-02-09 10:44:52,20827798,HK 06862,HAIDILAO,HKD,Sell,17.500,40000,17.596,Market Order
