Date,Order ID,Stock Code,Stock Name,Currency,Action,Order Price,Quantity,Executed Price,Order Type
2023-01-04 00:00:00,10518036,HK 01810,XIAOMI-W,HKD,Buy,11.380,1000,11.380,Enhanced Limit Order
2023-01-05 00:00:00,10520006,HK 01810,XIAOMI-W,HKD,Buy,11.680,4800,11.680,Enhanced Limit Order
2023-01-11 00:00:00,10531122,HK 01810,XIAOMI-W,HKD,Sell,12.020,800,12.020,Enhanced Limit Order
2023-01-27 00:00:00,10551156,HK 01810,XIAOMI-W,HKD,Sell,13.440,2000,13.440,Enhanced Limit Order
2024-05-14 00:00:00,11034139,HK 01810,XIAOMI-W,HKD,Sell,20.000,2000,20.000,Enhanced Limit Order
2024-06-07 00:00:00,11066048,HK 01810,XIAOMI-W,HKD,Buy,17.400,2400,17.400,Enhanced Limit Order
2024-06-28 00:00:00,11085688,HK 01810,XIAOMI-W,HKD,Buy,16.500,1400,16.500,Enhanced Limit Order
2024-07-10 00:00:00,11096111,HK 01810,XIAOMI-W,HKD,Buy,16.100,1000,16.100,Enhanced Limit Order
2024-07-15 00:00:00,11100733,HK 01810,XIAOMI-W,HKD,Buy,16.440,1200,16.440,Enhanced Limit Order
2024-08-05 00:00:00,11119296,HK 01810,XIAOMI-W,HKD,Buy,15.840,1600,15.840,Enhanced Limit Order
2024-08-30 00:00:00,11143728,HK 01810,XIAOMI-W,HKD,Sell,19.560,3600,19.580,Enhanced Limit Order
2024-09-12 00:00:00,11154238,HK 01810,XIAOMI-W,HKD,Buy,18.960,5000,18.960,Enhanced Limit Order
2024-09-16 00:00:00,11156552,HK 01810,XIAOMI-W,HKD,Buy,19.200,10000,19.200,Enhanced Limit Order
2024-09-16 00:00:00,11156882,HK 01810,XIAOMI-W,HKD,Buy,19.400,9000,19.400,Enhanced Limit Order
2024-09-17 00:00:00,11157251,HK 01810,XIAOMI-W,HKD,Buy,19.380,10000,19.380,Enhanced Limit Order
2024-09-19 00:00:00,11159446,HK 01810,XIAOMI-W,HKD,Buy,19.900,11600,19.900,Enhanced Limit Order
2024-10-02 00:00:00,11188531,HK 01810,XIAOMI-W,HKD,Buy,24.000,1400,23.900,Enhanced Limit Order
2024-11-08 00:00:00,11266003,HK 01810,XIAOMI-W,HKD,Sell,28.350,17000,28.350,Enhanced Limit Order
2024-11-15 00:00:00,11278227,HK 01810,XIAOMI-W,HKD,Buy,27.900,5000,27.900,Enhanced Limit Order
2025-01-07 00:00:00,11337534,HK 01810,XIAOMI-W,HKD,Buy,33.500,5000,33.500,Enhanced Limit Order
